ID,date,history,reopenings,comments,numWords,score1,score2
MNG-2937,2007-04-05,"Date: 2007-06-04T15:25:31.209-07:00, From: Open To: ClosedDate: 2007-06-04T15:27:30.072-07:00, From: Closed To: ReopenedDate: 2007-09-02T04:10:23.699-07:00, From: Reopened To: In ProgressDate: 2007-09-02T08:58:15.343-07:00, From: In Progress To: Closed",1,5,93,3,-2
MNG-2936,2007-04-05,"Date: 2007-05-20T07:38:57.616-07:00, From: Open To: Closed",0,3,56,1,-2
MNG-2935,2007-04-05,"Date: 2007-09-02T09:06:24.718-07:00, From: Open To: In ProgressDate: 2007-09-02T10:48:44.103-07:00, From: In Progress To: OpenDate: 2007-09-02T10:49:03.348-07:00, From: Open To: Closed",1,1,35,1,-2
MNG-2934,2007-04-05,"Date: 2007-06-04T08:03:29.821-07:00, From: Open To: ClosedDate: 2007-06-04T08:06:58.972-07:00, From: Closed To: ReopenedDate: 2007-06-04T08:07:04.251-07:00, From: Reopened To: Closed",1,13,535,1,-2
MNG-2933,2007-04-05,"Date: 2014-01-22T12:32:05.670-08:00, From: Open To: Closed",0,3,62,1,-1
MNG-2932,2007-04-04,"Date: 2007-10-17T09:13:39.137-07:00, From: Open To: Closed",0,5,363,3,-3
MNG-2931,2007-04-04,"Date: 2009-12-30T02:39:09.838-08:00, From: Open To: Closed",0,9,274,4,-4
MNG-2930,2007-04-04,"Date: 2007-05-29T13:23:24.463-07:00, From: Open To: Closed",0,4,191,1,-1
MNG-2929,2007-04-04,"Date: 2007-04-04T06:08:11.109-07:00, From: Open To: Closed",0,1,89,1,-1
MNG-2928,2007-04-04,"Date: 2008-03-05T11:34:07.253-08:00, From: Open To: Closed",0,3,55,1,-1
MNG-2926,2007-04-03,"Date: 2007-04-07T09:10:43.407-07:00, From: Open To: Closed",0,1,62,1,-1
MNG-2925,2007-04-03,"Date: 2008-01-06T21:48:33.379-08:00, From: Open To: Closed",0,2,37,1,-1
MNG-2923,2007-04-03,"Date: 2007-06-02T05:32:03.272-07:00, From: Open To: ClosedDate: 2007-06-04T08:06:21.181-07:00, From: Closed To: ReopenedDate: 2007-06-04T08:06:26.894-07:00, From: Reopened To: Closed",1,9,658,1,-2
MNG-2922,2007-04-03,"Date: 2007-04-04T03:38:30.502-07:00, From: Open To: Closed",0,2,28,1,-1
MNG-2921,2007-04-03,"Date: 2007-05-31T10:26:17.031-07:00, From: Open To: Closed",0,8,153,1,-2
MNG-2919,2007-04-02,"Date: 2007-06-04T06:26:24.543-07:00, From: Open To: ClosedDate: 2007-06-04T06:26:43.048-07:00, From: Closed To: ReopenedDate: 2007-06-04T06:27:06.022-07:00, From: Reopened To: ClosedDate: 2007-06-05T04:10:36.533-07:00, From: Closed To: ReopenedDate: 2007-06-06T04:48:13.404-07:00, From: Reopened To: Closed",2,10,467,1,-1
MNG-2918,2007-04-02,"Date: 2007-05-16T01:33:03.415-07:00, From: Open To: ClosedDate: 2007-06-17T23:47:06.486-07:00, From: Closed To: ReopenedDate: 2010-01-05T02:01:51.703-08:00, From: Reopened To: Closed",1,0,2,1,-1
MNG-2917,2007-04-01,"Date: 2007-04-02T01:02:08.521-07:00, From: Open To: Closed",0,3,111,1,-2
MNG-2916,2007-04-01,,0,1,85,1,-1
MNG-4508,2007-03-29,"Date: 2016-05-30T13:24:55.365-07:00, From: Open To: ClosedDate: 2017-01-09T01:56:06.593-08:00, From: Closed To: Reopened",1,13,805,3,-4
MNG-2914,2007-03-29,"Date: 2007-03-29T11:09:43.948-07:00, From: Open To: Closed",0,0,2,1,-1
MNG-2913,2007-03-29,"Date: 2007-05-31T11:18:31.052-07:00, From: Open To: Closed",0,1,26,1,-1
MNG-2909,2007-03-28,"Date: 2007-11-05T14:51:34.324-08:00, From: Open To: Closed",0,2,90,1,-1
MNG-2906,2007-03-27,"Date: 2014-01-22T12:31:49.776-08:00, From: Open To: Closed",0,10,332,1,-2
MNG-2905,2007-03-27,"Date: 2007-04-08T03:58:23.911-07:00, From: Open To: Closed",0,1,23,1,-1
MNG-2904,2007-03-27,"Date: 2007-06-02T14:03:50.635-07:00, From: Open To: Closed",0,2,57,1,-1
MNG-2903,2007-03-26,"Date: 2014-01-22T12:32:08.962-08:00, From: Open To: Closed",0,6,176,1,-4
MNG-2902,2007-03-26,"Date: 2011-06-19T09:51:23.226-07:00, From: Open To: Closed",0,5,120,1,-1
MNG-2901,2007-03-26,"Date: 2009-12-29T10:50:59.745-08:00, From: Open To: Closed",0,2,110,1,-1
MNG-2900,2007-03-25,"Date: 2007-03-25T06:11:28.719-07:00, From: Open To: ClosedDate: 2007-03-26T01:51:19.491-07:00, From: Closed To: ReopenedDate: 2007-03-26T01:51:33.854-07:00, From: Reopened To: Closed",1,11,1025,3,-3
MNG-2899,2007-03-25,"Date: 2007-03-25T11:45:25.760-07:00, From: Open To: Closed",0,4,221,1,-1
MNG-2898,2007-03-24,"Date: 2007-03-25T06:09:36.925-07:00, From: Open To: Closed",0,3,97,1,-2
MNG-2897,2007-03-24,"Date: 2007-03-24T17:07:14.460-07:00, From: Open To: Closed",0,1,37,1,-1
MNG-2896,2007-03-24,"Date: 2008-12-17T23:29:47.336-08:00, From: Open To: Closed",0,2,235,3,-2
MNG-2894,2007-03-24,"Date: 2007-03-24T17:06:38.456-07:00, From: Open To: Closed",0,1,33,1,-1
MNG-2893,2007-03-24,,0,2,152,2,-2
MNG-2892,2007-03-22,"Date: 2007-03-24T17:06:17.070-07:00, From: Open To: Closed",0,1,28,1,-1
MNG-2891,2007-03-22,"Date: 2007-03-22T04:52:40.250-07:00, From: Open To: Closed",0,2,33,2,-1
MNG-2890,2007-03-22,"Date: 2007-06-04T15:23:26.068-07:00, From: Open To: Closed",0,1,61,1,-2
MNG-2889,2007-03-21,"Date: 2009-12-29T12:36:15.321-08:00, From: Open To: Closed",0,0,2,1,-1
