ID,history,reopenings,comments,score1,score2
CAMEL-8285,"Date: 2016-05-05T09:58:25.606-07:00, From: Open To: Resolved",0,6,1,-1
CAMEL-8284,"Date: 2015-02-21T07:06:06.191-08:00, From: Open To: Resolved",0,10,2,-1
CAMEL-8283,"Date: 2015-01-27T22:31:45.387-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8282,"Date: 2015-01-27T22:21:00.578-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8281,"Date: 2015-02-06T03:25:06.054-08:00, From: Open To: Resolved",0,4,3,-1
CAMEL-8280,"Date: 2015-01-26T04:06:22.240-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8279,"Date: 2015-01-26T05:54:58.892-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8278,"Date: 2015-01-29T02:15:11.263-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8277,"Date: 2015-02-11T22:25:24.249-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8276,"Date: 2015-02-11T22:25:46.911-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8275,"Date: 2015-02-11T22:26:09.626-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8274,"Date: 2015-02-11T22:26:33.789-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8273,,0,7,2,-3
CAMEL-8272,"Date: 2015-02-06T03:34:36.808-08:00, From: Open To: Resolved",0,6,3,-2
CAMEL-8271,,0,1,1,-1
CAMEL-8270,"Date: 2015-04-30T00:05:57.814-07:00, From: Open To: Resolved",0,5,2,-1
CAMEL-8269,"Date: 2015-02-23T14:21:01.697-08:00, From: Open To: ClosedDate: 2015-05-04T12:25:48.614-07:00, From: Closed To: ReopenedDate: 2015-05-04T13:19:52.475-07:00, From: Reopened To: Closed",1,3,1,-2
CAMEL-8268,"Date: 2015-02-11T22:24:51.285-08:00, From: Open To: Resolved",0,5,1,-1
CAMEL-8267,"Date: 2015-01-25T03:48:33.975-08:00, From: Open To: Resolved",0,3,1,-2
CAMEL-8266,"Date: 2015-01-25T03:41:21.234-08:00, From: Open To: Resolved",0,6,2,-3
CAMEL-8265,"Date: 2015-02-01T23:56:37.638-08:00, From: Open To: Resolved",0,10,2,-2
CAMEL-8264,"Date: 2015-01-26T03:05:57.397-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8263,"Date: 2015-01-23T01:17:15.049-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8262,"Date: 2015-01-26T05:34:38.596-08:00, From: Open To: Resolved",0,4,3,-2
CAMEL-8261,"Date: 2015-01-22T02:28:12.051-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8260,"Date: 2015-01-21T02:07:24.103-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8259,"Date: 2015-01-20T13:12:24.154-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8258,"Date: 2016-02-26T08:10:40.808-08:00, From: Open To: In ProgressDate: 2016-02-29T09:30:54.890-08:00, From: In Progress To: Resolved",0,10,3,-2
CAMEL-8257,"Date: 2015-02-15T00:31:32.962-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8256,"Date: 2015-01-19T00:54:44.506-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8255,"Date: 2015-02-06T05:14:47.139-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8254,"Date: 2015-01-23T02:05:08.204-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8253,"Date: 2015-01-17T06:01:31.016-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8252,"Date: 2015-01-16T07:40:01.954-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8251,"Date: 2015-01-16T05:19:34.767-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8250,"Date: 2015-01-17T03:06:03.226-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8249,,0,1,1,-1
CAMEL-8248,"Date: 2015-01-17T03:08:57.964-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8247,"Date: 2015-01-14T19:43:26.525-08:00, From: Open To: Resolved",0,3,2,-2
CAMEL-8246,"Date: 2015-01-15T23:45:35.259-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8245,"Date: 2015-01-17T19:38:14.490-08:00, From: Open To: Resolved",0,1,2,-1
CAMEL-8244,"Date: 2016-03-23T02:44:51.129-07:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8243,"Date: 2015-01-22T04:59:15.312-08:00, From: Open To: In ProgressDate: 2016-03-02T04:36:48.266-08:00, From: In Progress To: Resolved",0,2,1,-1
CAMEL-8242,"Date: 2015-01-14T06:38:48.535-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8241,"Date: 2015-02-22T02:51:24.318-08:00, From: Open To: Resolved",0,7,3,-3
CAMEL-8240,"Date: 2015-01-17T03:10:32.142-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8239,"Date: 2015-01-19T08:12:37.723-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8238,,0,2,1,-1
CAMEL-8237,"Date: 2015-02-15T00:30:06.391-08:00, From: Open To: Resolved",0,5,1,-2
CAMEL-8236,"Date: 2015-01-13T03:48:05.958-08:00, From: Open To: Resolved",0,6,3,-3
CAMEL-8235,"Date: 2015-01-12T23:00:56.276-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8234,"Date: 2015-01-12T23:00:24.807-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8233,"Date: 2015-01-12T07:52:08.221-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8232,"Date: 2015-01-13T09:05:39.957-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8231,"Date: 2015-02-15T00:43:42.019-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8230,,0,2,3,-1
CAMEL-8229,"Date: 2015-02-06T05:00:38.226-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8228,"Date: 2015-01-14T02:39:45.775-08:00, From: Open To: Resolved",0,5,1,-2
CAMEL-8227,"Date: 2015-01-11T07:25:00.439-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8226,"Date: 2015-02-10T00:30:40.849-08:00, From: Open To: Resolved",0,4,1,-2
CAMEL-8225,"Date: 2015-01-12T04:30:49.891-08:00, From: Open To: Resolved",0,0,1,-1
