ID,history,reopenings,comments,score1,score2
ZOOKEEPER-2893,"Date: 2017-09-19T05:57:42.350-07:00, From: Open To: In ProgressDate: 2017-12-19T11:05:05.173-08:00, From: In Progress To: Resolved",0,31,3,-3
ZOOKEEPER-2892,,0,14,2,-2
ZOOKEEPER-2891,,0,5,2,-2
ZOOKEEPER-2890,"Date: 2017-10-10T11:51:08.510-07:00, From: Open To: Resolved",0,10,2,-4
ZOOKEEPER-2889,,0,1,1,-1
ZOOKEEPER-2888,,0,0,1,-1
ZOOKEEPER-2887,"Date: 2017-09-01T09:36:31.023-07:00, From: Open To: In ProgressDate: 2017-09-01T11:55:32.491-07:00, From: In Progress To: Patch AvailableDate: 2017-09-27T20:10:59.527-07:00, From: Patch Available To: Resolved",0,14,2,-2
ZOOKEEPER-2886,,0,3,1,-2
ZOOKEEPER-2885,"Date: 2017-08-30T03:44:01.671-07:00, From: Open To: Resolved",0,3,2,-1
ZOOKEEPER-2884,,0,0,1,-1
ZOOKEEPER-2883,"Date: 2017-08-23T08:16:02.048-07:00, From: Open To: Patch Available",0,1,1,-1
ZOOKEEPER-2882,"Date: 2017-08-23T08:10:53.115-07:00, From: Open To: Patch Available",0,7,2,-3
ZOOKEEPER-2881,"Date: 2017-08-23T08:09:05.655-07:00, From: Open To: Patch Available",0,1,1,-1
ZOOKEEPER-2880,"Date: 2017-08-22T13:00:10.608-07:00, From: Open To: In ProgressDate: 2017-08-23T17:12:12.623-07:00, From: In Progress To: Resolved",0,7,1,-2
ZOOKEEPER-2879,,0,8,2,-3
ZOOKEEPER-2878,,0,0,1,-1
ZOOKEEPER-2877,,0,2,3,-1
ZOOKEEPER-2876,,0,0,1,-1
ZOOKEEPER-2875,"Date: 2017-09-10T21:35:26.540-07:00, From: Open To: Resolved",0,4,3,-2
ZOOKEEPER-2874,"Date: 2017-08-17T21:21:30.352-07:00, From: Open To: Resolved",0,9,2,-2
