ID,history,reopenings,comments,score1,score2
CLOUDSTACK-10196,"Date: 2017-12-18T10:25:01.528-08:00, From: Open To: In ProgressDate: 2017-12-18T10:25:05.144-08:00, From: In Progress To: ReviewableDate: 2017-12-18T10:37:28.886-08:00, From: Reviewable To: Resolved",0,4,3,-2
CLOUDSTACK-10195,"Date: 2017-12-19T04:25:43.757-08:00, From: Open To: In ProgressDate: 2017-12-19T04:25:48.560-08:00, From: In Progress To: ReviewableDate: 2017-12-19T04:25:55.852-08:00, From: Reviewable To: Resolved",0,15,2,-2
CLOUDSTACK-10194,"Date: 2017-12-17T22:45:53.765-08:00, From: Open To: In ProgressDate: 2017-12-17T22:57:19.654-08:00, From: In Progress To: ReviewableDate: 2017-12-17T22:57:32.137-08:00, From: Reviewable To: Resolved",0,15,1,-1
CLOUDSTACK-10193,"Date: 2017-12-16T23:00:31.157-08:00, From: Open To: In ProgressDate: 2017-12-17T11:36:59.263-08:00, From: In Progress To: ReviewableDate: 2017-12-17T11:37:08.054-08:00, From: Reviewable To: ResolvedDate: 2017-12-17T11:37:16.870-08:00, From: Resolved To: Closed",0,20,1,-3
CLOUDSTACK-10192,,0,0,1,-1
CLOUDSTACK-10191,"Date: 2017-12-17T12:20:57.614-08:00, From: Open To: Closed",0,1,1,-1
CLOUDSTACK-10190,,0,15,1,-3
CLOUDSTACK-10189,,0,5,2,-3
CLOUDSTACK-10188,"Date: 2017-12-14T01:56:14.553-08:00, From: Open To: ClosedDate: 2017-12-14T21:09:09.925-08:00, From: Closed To: Reopened",1,32,2,-2
CLOUDSTACK-10187,"Date: 2017-12-12T11:54:27.428-08:00, From: Open To: In ProgressDate: 2017-12-12T12:36:05.430-08:00, From: In Progress To: ReviewableDate: 2017-12-17T11:38:08.241-08:00, From: Reviewable To: ResolvedDate: 2017-12-17T11:38:18.712-08:00, From: Resolved To: Closed",0,11,1,-1
CLOUDSTACK-10186,,0,0,1,-1
CLOUDSTACK-10185,"Date: 2017-12-18T22:15:51.193-08:00, From: Open To: Closed",0,1,1,-1
CLOUDSTACK-10184,"Date: 2017-12-11T08:42:54.460-08:00, From: Open To: In ProgressDate: 2017-12-11T08:42:58.275-08:00, From: In Progress To: ReviewableDate: 2017-12-11T09:10:08.028-08:00, From: Reviewable To: Resolved",0,3,1,-2
CLOUDSTACK-10183,,0,0,1,-1
CLOUDSTACK-10182,,0,5,1,-2
CLOUDSTACK-10181,"Date: 2017-12-16T23:33:57.492-08:00, From: Open To: Closed",0,3,1,-1
CLOUDSTACK-10180,,0,0,1,-1
CLOUDSTACK-10179,,0,1,1,-1
CLOUDSTACK-10178,,0,14,2,-2
CLOUDSTACK-10177,"Date: 2017-12-19T00:39:44.044-08:00, From: Open To: Resolved",0,25,3,-2
CLOUDSTACK-10176,"Date: 2017-12-19T00:40:02.633-08:00, From: Open To: Resolved",0,19,3,-2
CLOUDSTACK-10175,"Date: 2017-12-29T10:54:39.678-08:00, From: Open To: ResolvedDate: 2017-12-29T10:55:04.008-08:00, From: Resolved To: Closed",0,25,2,-3
CLOUDSTACK-10174,,0,0,1,-1
